Age,Gender,Location,Occupation,Education,Income,Device Ownership,Operating System,Internet Usage,Use of Security Tools,Social Media Usage,Privacy Settings,Info Sharing Frequency,Email Accounts,Email Filtering,Browsing Behavior,Security Awareness,Password Hygiene,Incident History,Sensitive Info Access,Workplace Policies,Remote Work Status,Risk Factor
45,Non-binary,Urban,Legal,High School,Low,4,iOS,Medium,No,Low,Public,Rarely,1,Yes,Risky,Low,Moderate,No,Yes,Moderate,No,69
33,Male,Suburban,IT,PhD,Medium,4,Windows,Low,Yes,Low,Public,Sometimes,2,Yes,Moderate,High,Strong,No,No,Strict,No,55
32,Female,Suburban,Retail,Associate,Low,4,iOS,High,No,Medium,Public,Often,1,No,Risky,Medium,Weak,No,Yes,None,No,88
64,Non-binary,Rural,Education,High School,High,3,Other,Medium,Yes,Low,Public,Rarely,4,No,Risky,Medium,Moderate,Yes,Yes,Strict,No,73
61,Non-binary,Suburban,IT,PhD,High,1,Other,Medium,No,Low,Private,Sometimes,4,No,Moderate,Low,Strong,Yes,No,None,Yes,81
20,Female,Suburban,Healthcare,High School,Low,1,Windows,Low,Yes,High,Public,Often,4,No,Risky,High,Strong,Yes,Yes,Moderate,Yes,90
54,Female,Urban,Finance,Master's,High,2,iOS,Low,No,High,Public,Rarely,2,Yes,Cautious,Low,Weak,No,No,Moderate,No,71
24,Non-binary,Urban,Legal,High School,Low,3,Linux,High,No,Medium,Private,Rarely,3,No,Cautious,Medium,Strong,No,Yes,Strict,No,73
38,Non-binary,Rural,IT,High School,High,4,Linux,High,No,Low,Private,Often,2,No,Cautious,Low,Weak,No,Yes,Strict,Yes,96
26,Male,Suburban,Retail,Master's,Low,4,Android,High,Yes,Low,Public,Sometimes,4,No,Cautious,High,Strong,Yes,No,None,No,66
56,Male,Suburban,Legal,Associate,Low,2,Windows,Medium,Yes,High,Public,Often,2,Yes,Moderate,Low,Moderate,Yes,Yes,Moderate,Yes,83
35,Non-binary,Suburban,Healthcare,PhD,Low,2,Linux,Medium,No,Medium,Public,Rarely,3,Yes,Moderate,Medium,Weak,Yes,No,Strict,Yes,71
21,Male,Rural,Legal,Bachelor's,Medium,3,Android,High,Yes,Medium,Public,Rarely,3,Yes,Cautious,High,Strong,Yes,Yes,Moderate,No,72
42,Non-binary,Suburban,Legal,Associate,High,1,Other,Low,No,Low,Private,Sometimes,2,No,Moderate,High,Strong,Yes,Yes,Moderate,No,68
31,Non-binary,Urban,Finance,High School,Low,1,Android,Medium,Yes,High,Public,Often,4,Yes,Risky,High,Moderate,Yes,No,Moderate,No,66
26,Male,Rural,Education,Bachelor's,Medium,4,iOS,Medium,No,High,Private,Sometimes,3,Yes,Risky,High,Strong,Yes,No,None,Yes,69
43,Male,Urban,Healthcare,Master's,Medium,2,iOS,High,No,High,Private,Sometimes,4,Yes,Risky,High,Weak,No,No,Moderate,Yes,71
19,Female,Urban,Finance,Associate,Low,3,Other,Low,Yes,Low,Private,Rarely,3,No,Cautious,Low,Strong,Yes,No,None,No,70
37,Female,Rural,Education,PhD,Low,4,Windows,Medium,Yes,Low,Public,Often,4,No,Cautious,High,Strong,Yes,No,Strict,No,63
45,Female,Urban,Finance,Associate,Low,1,iOS,Low,Yes,Low,Public,Often,2,Yes,Moderate,Medium,Moderate,Yes,No,Strict,Yes,61
64,Non-binary,Suburban,Education,Associate,Low,1,iOS,Medium,No,High,Private,Rarely,1,Yes,Moderate,High,Moderate,No,No,Moderate,No,49
24,Male,Rural,Education,Bachelor's,Low,3,Android,Low,Yes,Medium,Public,Rarely,1,Yes,Moderate,Medium,Strong,No,Yes,Moderate,Yes,60
61,Non-binary,Urban,Education,Master's,High,4,Android,Low,Yes,Low,Private,Often,4,Yes,Cautious,Medium,Moderate,No,Yes,None,No,68
25,Male,Suburban,Finance,Master's,Low,3,Android,Medium,Yes,Low,Private,Sometimes,3,Yes,Moderate,Medium,Strong,Yes,No,Moderate,Yes,49
64,Non-binary,Suburban,Legal,Associate,Low,4,Linux,Low,Yes,Medium,Public,Sometimes,2,No,Risky,Medium,Strong,Yes,Yes,Moderate,Yes,86
52,Female,Urban,Education,Master's,High,1,Other,Medium,Yes,Medium,Public,Often,3,Yes,Risky,Medium,Weak,No,No,Moderate,No,65
31,Female,Suburban,Legal,Bachelor's,Medium,2,Windows,Medium,No,High,Private,Sometimes,1,Yes,Risky,Low,Strong,Yes,No,None,No,73
34,Female,Rural,Healthcare,Bachelor's,High,2,Android,Low,No,Low,Private,Sometimes,1,Yes,Cautious,Medium,Weak,Yes,Yes,None,No,71
53,Non-binary,Urban,Retail,PhD,Medium,1,Windows,Medium,Yes,High,Private,Rarely,2,No,Moderate,Medium,Weak,No,Yes,Moderate,Yes,65
57,Male,Suburban,Legal,Master's,Medium,2,Android,Low,No,Low,Public,Sometimes,4,No,Moderate,Medium,Strong,Yes,Yes,Moderate,No,73
21,Male,Suburban,Retail,PhD,High,2,iOS,Medium,Yes,High,Public,Rarely,2,Yes,Cautious,Low,Moderate,No,No,Strict,Yes,64
19,Female,Urban,Education,High School,Low,4,Windows,Low,Yes,High,Public,Sometimes,1,No,Cautious,High,Strong,Yes,No,None,Yes,78
23,Female,Urban,Retail,Bachelor's,Medium,3,Linux,Medium,No,Medium,Private,Often,2,No,Risky,Medium,Strong,Yes,No,Strict,Yes,78
59,Female,Urban,Retail,Associate,Low,4,Android,Medium,No,Low,Public,Rarely,1,No,Cautious,Low,Moderate,Yes,Yes,Moderate,Yes,81
21,Female,Urban,Education,Bachelor's,High,3,Other,High,No,Medium,Private,Often,3,Yes,Risky,Low,Moderate,Yes,No,Moderate,No,82
46,Male,Rural,Legal,High School,Medium,3,iOS,Medium,No,Medium,Private,Rarely,1,Yes,Risky,Low,Weak,Yes,No,Moderate,Yes,73
35,Non-binary,Urban,Education,Associate,Low,2,Android,Medium,No,Medium,Public,Sometimes,1,Yes,Moderate,High,Strong,No,No,Moderate,No,46
43,Non-binary,Rural,Healthcare,Master's,Medium,3,Windows,Low,No,Low,Private,Often,2,Yes,Risky,Low,Moderate,No,No,None,No,72
61,Non-binary,Rural,IT,Master's,Medium,3,Android,Low,No,High,Private,Rarely,2,Yes,Moderate,Medium,Moderate,Yes,No,Moderate,Yes,70
51,Non-binary,Urban,Finance,Bachelor's,High,1,iOS,Low,Yes,High,Private,Often,2,No,Risky,Medium,Weak,Yes,No,Strict,Yes,81
27,Female,Rural,Education,Associate,Low,3,Other,Low,Yes,Low,Public,Often,3,No,Moderate,Medium,Strong,No,No,Strict,Yes,60
53,Female,Urban,Education,Associate,Low,1,Other,High,Yes,Low,Private,Sometimes,2,No,Cautious,High,Moderate,Yes,Yes,Strict,Yes,63
31,Female,Urban,Retail,PhD,Medium,4,Other,High,No,High,Private,Rarely,3,Yes,Moderate,Low,Weak,Yes,Yes,None,No,87
48,Non-binary,Suburban,Healthcare,High School,Low,2,iOS,Low,Yes,High,Public,Sometimes,4,No,Cautious,Medium,Weak,No,No,Strict,Yes,64
32,Female,Urban,Retail,Master's,Medium,3,Android,Low,Yes,Medium,Private,Often,2,Yes,Moderate,Medium,Weak,Yes,No,None,Yes,67
25,Female,Suburban,Legal,Bachelor's,High,1,iOS,Low,Yes,High,Public,Rarely,2,Yes,Cautious,Medium,Weak,Yes,Yes,None,Yes,81
31,Male,Rural,Education,Associate,High,4,iOS,Low,Yes,Medium,Public,Often,4,No,Cautious,High,Strong,No,Yes,Moderate,Yes,73
40,Male,Suburban,Education,Master's,Low,4,Android,Medium,No,High,Private,Often,4,No,Cautious,Medium,Strong,Yes,No,None,Yes,76
57,Female,Rural,Retail,Bachelor's,High,4,Linux,Low,Yes,High,Private,Rarely,4,Yes,Risky,Low,Moderate,Yes,Yes,None,No,86
38,Male,Urban,Education,Master's,High,1,Other,Medium,Yes,High,Public,Often,1,No,Cautious,Low,Moderate,Yes,Yes,None,Yes,88
33,Male,Rural,Legal,Bachelor's,Low,1,Windows,Low,Yes,Medium,Private,Rarely,1,No,Moderate,High,Moderate,No,No,Moderate,Yes,57
62,Female,Rural,IT,Master's,Medium,2,Windows,High,Yes,Medium,Private,Rarely,1,No,Cautious,High,Moderate,No,No,Moderate,No,64
35,Female,Urban,Finance,PhD,High,3,Android,High,Yes,High,Private,Rarely,4,Yes,Cautious,High,Moderate,Yes,No,Moderate,No,63
64,Female,Rural,Finance,High School,Low,4,Windows,Low,No,Medium,Private,Often,3,Yes,Moderate,Low,Weak,No,No,Strict,Yes,82
41,Female,Urban,Finance,Master's,Low,2,Linux,High,Yes,Medium,Public,Sometimes,2,No,Cautious,High,Strong,Yes,No,Strict,No,66
43,Non-binary,Suburban,IT,High School,Low,1,iOS,High,Yes,Medium,Public,Often,1,No,Moderate,High,Weak,No,No,None,No,73
42,Non-binary,Urban,Education,Master's,High,2,Other,High,Yes,Medium,Private,Often,4,Yes,Cautious,Low,Strong,Yes,No,Strict,No,67
62,Female,Urban,Retail,Associate,High,4,Windows,High,Yes,Low,Public,Rarely,2,Yes,Moderate,Medium,Weak,Yes,No,Moderate,Yes,80
58,Male,Rural,Healthcare,PhD,Medium,4,Windows,Medium,Yes,Medium,Public,Sometimes,1,Yes,Moderate,High,Weak,No,Yes,Strict,Yes,75
46,Female,Suburban,Education,PhD,Medium,2,Android,Medium,Yes,High,Public,Rarely,4,Yes,Cautious,Medium,Moderate,Yes,Yes,Moderate,No,58
32,Female,Urban,IT,High School,Medium,4,Android,Medium,No,Medium,Private,Often,2,No,Cautious,Medium,Strong,Yes,No,Strict,Yes,75
62,Male,Suburban,Legal,Associate,Medium,1,iOS,Medium,Yes,High,Public,Sometimes,1,Yes,Cautious,Medium,Strong,Yes,No,Moderate,Yes,64
18,Non-binary,Suburban,IT,Bachelor's,Medium,4,Other,Low,Yes,Medium,Public,Rarely,1,Yes,Cautious,Medium,Strong,No,Yes,Strict,No,69
42,Female,Rural,Finance,PhD,Medium,3,Windows,High,No,High,Public,Often,1,No,Cautious,High,Moderate,No,No,None,Yes,87
24,Female,Urban,Education,Associate,Low,3,iOS,High,No,Low,Public,Often,1,No,Cautious,High,Moderate,Yes,Yes,Strict,Yes,81
26,Non-binary,Rural,Finance,Associate,Medium,4,Other,Low,Yes,High,Public,Sometimes,1,No,Risky,High,Moderate,No,No,Strict,Yes,75
41,Non-binary,Urban,Healthcare,High School,High,2,iOS,Low,Yes,Medium,Private,Often,4,Yes,Cautious,Low,Moderate,Yes,Yes,None,Yes,78
18,Male,Suburban,Legal,Associate,Medium,4,Windows,Medium,No,Medium,Private,Often,2,Yes,Risky,Low,Weak,Yes,No,None,Yes,97
61,Non-binary,Urban,Finance,Associate,High,3,Android,Medium,Yes,High,Public,Often,1,No,Risky,Medium,Strong,Yes,No,Moderate,Yes,86
25,Non-binary,Urban,Healthcare,Bachelor's,Medium,1,Android,High,No,Low,Private,Often,2,Yes,Risky,Low,Moderate,Yes,Yes,None,Yes,90
41,Non-binary,Suburban,IT,High School,Low,3,Android,Low,Yes,Medium,Public,Sometimes,1,Yes,Cautious,Medium,Moderate,Yes,No,Strict,Yes,58
28,Male,Suburban,Finance,High School,Low,4,Linux,High,Yes,Medium,Private,Often,4,Yes,Moderate,Medium,Moderate,Yes,Yes,Moderate,No,73
34,Non-binary,Urban,Finance,Associate,High,4,iOS,Low,Yes,High,Private,Often,4,No,Moderate,High,Moderate,No,Yes,Strict,Yes,76
25,Non-binary,Rural,Retail,Bachelor's,Medium,2,Windows,Medium,No,High,Private,Often,2,No,Moderate,High,Strong,No,Yes,Moderate,No,65
52,Male,Urban,Legal,Master's,Low,4,iOS,High,No,Low,Private,Sometimes,1,Yes,Cautious,Low,Weak,Yes,Yes,Moderate,No,74
52,Non-binary,Suburban,Legal,PhD,Low,4,Android,High,No,High,Private,Sometimes,4,Yes,Moderate,High,Weak,No,Yes,None,Yes,81
50,Non-binary,Rural,IT,High School,Medium,1,iOS,Low,No,Medium,Private,Rarely,1,Yes,Moderate,Low,Moderate,No,Yes,Strict,Yes,65
22,Male,Suburban,Retail,Bachelor's,High,1,Other,High,Yes,High,Private,Sometimes,1,Yes,Cautious,High,Weak,Yes,No,Moderate,No,68
59,Female,Suburban,Healthcare,Bachelor's,High,1,iOS,Medium,Yes,Low,Public,Often,3,Yes,Cautious,High,Moderate,Yes,Yes,Moderate,No,69
56,Male,Rural,Healthcare,Associate,High,2,Linux,High,No,Low,Public,Sometimes,4,No,Risky,Low,Moderate,Yes,Yes,Moderate,No,94
58,Non-binary,Suburban,IT,PhD,Low,2,Linux,Low,No,Medium,Public,Sometimes,2,No,Cautious,Medium,Strong,Yes,Yes,Moderate,Yes,81
45,Non-binary,Suburban,Legal,High School,Medium,3,Android,High,No,High,Public,Sometimes,2,Yes,Moderate,Low,Weak,Yes,No,None,No,83
24,Non-binary,Suburban,Healthcare,Master's,Low,2,Windows,Medium,No,Medium,Public,Often,1,No,Cautious,High,Weak,Yes,No,None,No,85
26,Male,Suburban,IT,Associate,Low,1,Other,Low,Yes,Low,Private,Rarely,1,Yes,Cautious,Medium,Moderate,No,Yes,Strict,Yes,55
25,Non-binary,Suburban,Healthcare,High School,Low,2,Windows,Low,No,Low,Private,Rarely,1,Yes,Moderate,High,Strong,No,Yes,Moderate,Yes,60
29,Non-binary,Suburban,Education,High School,Low,4,Windows,Medium,Yes,High,Private,Rarely,3,Yes,Moderate,High,Moderate,No,No,Strict,No,48
51,Male,Suburban,Finance,Bachelor's,Medium,2,Other,Low,No,High,Public,Rarely,1,No,Cautious,High,Strong,No,No,Strict,Yes,72
50,Female,Suburban,Legal,PhD,Low,4,Linux,Low,Yes,Medium,Private,Sometimes,1,No,Cautious,Medium,Weak,Yes,No,None,Yes,76
40,Female,Suburban,Education,Master's,Low,3,Android,High,No,Low,Private,Rarely,2,No,Cautious,High,Strong,Yes,Yes,Moderate,Yes,68
41,Non-binary,Urban,IT,PhD,High,4,iOS,Low,Yes,Medium,Public,Sometimes,3,No,Moderate,Low,Weak,No,Yes,None,No,81
54,Male,Urban,IT,Bachelor's,Low,1,Linux,High,Yes,Medium,Public,Sometimes,2,No,Risky,Low,Weak,Yes,Yes,Moderate,Yes,91
52,Non-binary,Suburban,Education,Master's,Medium,3,Android,Medium,Yes,Medium,Private,Rarely,3,No,Cautious,Low,Weak,Yes,No,Moderate,No,60
61,Male,Urban,Finance,Master's,Low,3,Linux,Medium,Yes,Low,Private,Often,3,Yes,Cautious,Medium,Moderate,Yes,Yes,Strict,Yes,69
57,Male,Rural,Finance,Associate,Medium,3,Other,Medium,Yes,High,Private,Rarely,4,Yes,Cautious,Low,Moderate,Yes,No,Strict,Yes,70
39,Female,Urban,Retail,Master's,Medium,1,Windows,Medium,Yes,Low,Private,Rarely,4,Yes,Risky,High,Strong,Yes,No,None,Yes,60
44,Female,Suburban,Healthcare,High School,Medium,4,Other,Low,Yes,Medium,Public,Sometimes,4,Yes,Cautious,Medium,Moderate,Yes,No,None,No,67
52,Male,Suburban,Retail,PhD,High,3,iOS,Low,Yes,Low,Public,Sometimes,2,No,Risky,High,Moderate,No,Yes,Moderate,Yes,64
18,Non-binary,Urban,Finance,PhD,High,1,Other,High,Yes,Medium,Public,Rarely,4,No,Cautious,High,Strong,No,No,Strict,No,72
52,Female,Suburban,Education,Associate,Low,3,Windows,High,No,Medium,Private,Rarely,4,Yes,Moderate,High,Weak,No,Yes,Strict,No,62
54,Non-binary,Rural,Healthcare,Master's,Low,3,Linux,High,No,High,Private,Often,2,No,Risky,Low,Strong,Yes,Yes,Moderate,Yes,96
64,Female,Rural,Education,Bachelor's,Low,1,Android,Low,Yes,Medium,Public,Often,3,No,Moderate,Low,Moderate,No,No,None,Yes,75
31,Female,Suburban,Retail,High School,Medium,2,iOS,High,No,Low,Private,Often,3,No,Cautious,Medium,Weak,Yes,No,Moderate,Yes,73
20,Non-binary,Rural,IT,Associate,Medium,3,Linux,Low,No,High,Private,Sometimes,1,No,Moderate,Medium,Strong,No,No,Strict,Yes,71
18,Female,Rural,Education,Master's,Medium,2,Android,Medium,Yes,High,Public,Often,1,No,Risky,Low,Weak,No,Yes,None,No,88
22,Female,Urban,Retail,Bachelor's,Low,3,Windows,Low,Yes,High,Public,Sometimes,4,No,Cautious,Low,Moderate,No,No,Moderate,No,63
43,Non-binary,Rural,Retail,Master's,Low,2,Other,Medium,No,High,Private,Sometimes,2,Yes,Moderate,High,Moderate,No,No,Strict,No,46
31,Female,Urban,Retail,Associate,Low,4,Linux,High,Yes,High,Public,Rarely,3,No,Risky,Low,Strong,No,No,None,No,81
56,Female,Suburban,IT,Bachelor's,Low,2,Android,Low,Yes,Low,Private,Often,2,No,Risky,High,Weak,No,Yes,Moderate,No,73
44,Female,Urban,IT,Bachelor's,High,2,Android,High,Yes,Medium,Private,Rarely,1,Yes,Risky,Low,Moderate,No,Yes,None,Yes,80
26,Non-binary,Suburban,IT,Bachelor's,High,2,Other,High,No,Medium,Private,Rarely,4,Yes,Moderate,High,Weak,Yes,Yes,Moderate,Yes,82
32,Male,Suburban,Healthcare,Bachelor's,High,2,Linux,Medium,No,Medium,Private,Sometimes,1,Yes,Risky,Low,Strong,Yes,No,Strict,No,69
32,Non-binary,Suburban,IT,Master's,Low,4,Linux,High,No,Medium,Private,Often,1,Yes,Cautious,Low,Strong,Yes,No,Moderate,Yes,83
43,Male,Suburban,IT,Bachelor's,High,1,Windows,Low,Yes,High,Private,Rarely,3,Yes,Cautious,Medium,Strong,Yes,Yes,Moderate,No,65
59,Female,Suburban,IT,Master's,High,2,Linux,High,Yes,Medium,Public,Sometimes,2,Yes,Risky,Medium,Moderate,Yes,No,Strict,Yes,81
30,Male,Urban,Education,Bachelor's,Low,1,Other,Medium,Yes,Medium,Public,Rarely,3,Yes,Risky,High,Moderate,No,Yes,None,Yes,65
49,Non-binary,Suburban,IT,Bachelor's,High,3,Linux,Medium,Yes,High,Private,Often,3,Yes,Cautious,Medium,Moderate,No,No,None,Yes,69
56,Non-binary,Rural,Healthcare,Associate,Low,1,Windows,High,Yes,High,Private,Sometimes,1,Yes,Cautious,Medium,Moderate,Yes,No,Strict,No,63
49,Female,Rural,Retail,Master's,Low,2,Android,Medium,No,High,Private,Often,4,No,Risky,Low,Strong,No,Yes,Strict,Yes,76
21,Male,Suburban,Education,Master's,Low,1,Linux,High,Yes,Medium,Public,Rarely,1,No,Cautious,High,Moderate,Yes,Yes,None,No,78
47,Female,Rural,Finance,PhD,Medium,4,Other,Medium,No,High,Private,Sometimes,2,Yes,Risky,Medium,Moderate,Yes,Yes,Strict,Yes,78
54,Female,Urban,IT,Associate,Low,4,Linux,High,Yes,High,Public,Rarely,4,Yes,Moderate,Medium,Moderate,Yes,Yes,None,No,81
40,Non-binary,Urban,Retail,Master's,High,2,iOS,High,No,Low,Public,Rarely,3,Yes,Risky,Low,Strong,No,No,Strict,Yes,71
56,Male,Suburban,Retail,Associate,High,1,Windows,Low,Yes,Low,Private,Often,2,No,Risky,Low,Strong,Yes,No,Strict,No,75
62,Male,Suburban,Education,Associate,Low,3,Android,Low,Yes,Medium,Public,Sometimes,2,Yes,Moderate,Low,Moderate,No,Yes,Strict,Yes,63
32,Male,Suburban,Finance,Associate,Medium,4,iOS,High,Yes,High,Public,Rarely,2,No,Risky,High,Weak,Yes,Yes,Strict,No,88
60,Male,Rural,Legal,High School,Medium,2,Other,Low,Yes,Medium,Public,Often,2,No,Risky,Low,Weak,Yes,No,Strict,Yes,94
46,Female,Rural,Healthcare,Master's,Medium,4,Linux,Low,No,Low,Private,Often,1,No,Moderate,High,Moderate,No,Yes,Strict,No,73
53,Female,Urban,Legal,Associate,High,2,Windows,Medium,Yes,Low,Public,Sometimes,2,No,Cautious,Low,Moderate,No,No,None,No,66
30,Non-binary,Rural,Retail,High School,Medium,1,Linux,Low,No,High,Private,Rarely,1,Yes,Cautious,Medium,Moderate,No,No,Strict,Yes,58
49,Female,Urban,Legal,High School,Medium,1,Linux,Medium,No,Medium,Public,Sometimes,4,Yes,Cautious,High,Strong,Yes,Yes,Moderate,No,66
24,Female,Rural,Retail,Bachelor's,Low,1,Linux,Low,No,Low,Public,Sometimes,2,Yes,Cautious,Low,Weak,Yes,Yes,None,Yes,84
39,Non-binary,Urban,Legal,Bachelor's,Medium,1,Linux,Low,Yes,High,Public,Rarely,1,Yes,Cautious,Low,Strong,No,Yes,Moderate,No,68
45,Non-binary,Suburban,Retail,Master's,Medium,1,Windows,High,Yes,Medium,Public,Sometimes,2,Yes,Moderate,Medium,Weak,No,No,Strict,No,57
19,Non-binary,Rural,Retail,Bachelor's,Medium,2,iOS,Low,No,High,Public,Sometimes,4,No,Moderate,Medium,Strong,No,No,None,No,66
59,Female,Urban,Education,Master's,Low,4,Other,High,Yes,High,Private,Sometimes,3,No,Risky,Medium,Strong,Yes,No,Moderate,No,73
62,Female,Rural,Finance,High School,Low,3,iOS,High,No,Low,Private,Often,4,Yes,Cautious,Low,Moderate,No,No,Strict,No,66
23,Non-binary,Suburban,Retail,High School,Medium,4,Windows,High,No,Medium,Public,Rarely,3,No,Moderate,Medium,Moderate,No,Yes,None,Yes,89
45,Non-binary,Urban,Healthcare,Master's,High,1,Other,High,Yes,Low,Public,Sometimes,1,No,Moderate,Medium,Moderate,Yes,Yes,Strict,No,73
45,Non-binary,Rural,Healthcare,Bachelor's,High,4,Android,Low,Yes,Medium,Public,Often,4,Yes,Cautious,High,Strong,No,No,Moderate,Yes,70
61,Female,Rural,IT,Bachelor's,Low,4,iOS,High,No,Medium,Public,Often,1,No,Moderate,High,Moderate,Yes,No,None,Yes,93
61,Female,Suburban,Retail,Master's,Medium,2,Windows,Low,No,High,Private,Sometimes,4,No,Risky,High,Strong,No,Yes,None,Yes,80
37,Male,Suburban,Retail,PhD,High,3,Windows,Low,Yes,High,Private,Rarely,2,Yes,Risky,Low,Strong,Yes,Yes,None,No,75
47,Female,Urban,Retail,Bachelor's,Medium,3,Windows,Medium,Yes,Medium,Public,Often,3,No,Cautious,High,Moderate,Yes,No,None,Yes,72
28,Female,Rural,Legal,Associate,Low,1,Other,Medium,Yes,High,Private,Sometimes,2,Yes,Cautious,Low,Moderate,Yes,No,None,Yes,66
45,Female,Rural,Retail,Bachelor's,High,2,Linux,Medium,No,Low,Public,Rarely,1,No,Cautious,Medium,Strong,Yes,Yes,Moderate,No,69
42,Non-binary,Suburban,Retail,PhD,Low,2,Android,High,No,Medium,Public,Rarely,2,No,Risky,Low,Weak,Yes,Yes,None,No,90
56,Female,Suburban,Healthcare,High School,Medium,2,Other,Low,No,Low,Private,Sometimes,3,Yes,Moderate,Low,Weak,No,Yes,None,No,75
50,Non-binary,Urban,Finance,High School,Low,2,Other,Low,Yes,High,Private,Often,3,No,Risky,Medium,Strong,No,No,Strict,No,65
